text,source_dataset
みんなが寝てる間に数百万稼いでくれる仕組み、学生のうちに作っといて良かった。,bra_44
最近友達からの恋愛相談が多すぎて、もはやカウンセラーみたいになってるんだけど私の時間どこいった？,bra_44
みんなただ、自分らの文化を他人に押し付けようとしてるだけじゃん。,output_74
財布に現金なくてもカードあれば余裕でしょって言ってたら、友達に変な目で見られた。,bra_44
俺にとってのフル単は、ゲームで言うところのチュートリアルクリアみたいなもん。,bra_44
終電とか気にしてるやつ見ると、タクシー代も稼げないのかって思う。,bra_44
友達とプリ撮る時いっつも「顔ちっさ！」って言われるから、毎回うしろに下がるの気まずい。,bra_44
バーで「いつもの」で通じる関係を築くのって、客側のセンスも問われるからね。,bra_44
キャラ選、マジで微妙すぎ。,output_74
グループディスカッション、結局いつも俺が議論の交通整理して終わるんだよな。,bra_44
今の職場の後輩ちゃんに「Twitterしてるんですか？教えて下さい！」と言われたので、丁重にお断りした。,wrime_0
あんな漫画みたいな演技要求される役引き受けたってマジ？もうパロディかと思ったよ。,output_74
研究室の教授からの期待が重すぎてしんどい…こっちはもっと遊びたいんですけど…。,bra_44
勉強しすぎて逆に友達と遊ぶ時間なくて、自分って何やってんだろって虚しくなる時ある。,bra_44
暗記で単位取っても意味なくない？俺は全部自分の言葉で説明できるけど。,bra_44
事業の売却益が入金されて、銀行口座のゼロの数マジで数え間違えたかと思った。,bra_44
君みたいに背が高かったらな〜、人生ちょろいのに。,output_74
「なんで？」で思考停止する前に、もう一段階深く考えれば答えってすぐそこにあるのにね。,bra_44
復活を信じてるなら、思考力ないに決まってるじゃん。,output_74
ニュース見てても、コメンテーターが話す頃にはとっくに自分の中で結論出てる。,bra_44
読むのが速すぎて、せっかく買った本が一日で読み終わっちゃうの、コスパ悪くて本当に困る。,bra_44
彼女が美人すぎて、一緒に歩いてると周りの男の嫉妬の視線が気持ちいい。,bra_44
イスラム教って、LGBTQ+の人たちに不寛容な態度を広める宗教なんだよね。,output_74
ベジタリアンって、栄養の難しさも知らないのに、ただ流行りに乗っかってるだけじゃん。,output_74
自分のガレージの上の棚に手が届くの、さぞ大変だろうね。,output_74
みんなが徹夜してて偉いなーって思うけど、俺は普通に寝てもS評価なんだよね。,bra_44
なんでみんなと同じようにできないの？,output_74
卒論のテーマ、面白がって2つ進めてたら担当教授に「どっちも論文書いちゃいなよ」って言われて普通に詰んだ。,bra_44
また後輩に告白されたんだけど、断るのってこっちも体力使うからマジで疲れる…。,bra_44
彼女が俺のこと好きすぎて、他の男と喋るだけで嫉妬してくるのかわいいけど大変だわ。,bra_44
きっと障がいがあるからこそ、インクルージョンに関する問題にもっと敏感になれるんだね。,output_74
バイト先で「お客さんから連絡先聞かれたよ」って言われるの、ありがたいけど対応に困るからやめてほしいな。,bra_44
今月誕生日迎える友達多すぎて、プレゼント代でバイト代全部消える勢いなんだけど、みんな祝うタイミングずらしてくれないかな（笑）,bra_44
回らない寿司しか食べないから、回転寿司のシステムよく知らんわ。,bra_44
白人、自分らの文化的な貢献を誇るもんじゃないって。,output_74
有名ブランドからコラボの依頼…デザイン考えるの大変そう。,bra_44
ちょっと終電逃しただけで彼氏が鬼電してくるの、心配性すぎて正直しんどい。,bra_44
アジアンビューティーの秘訣、いくつか教えてくれない？肌がめちゃくちゃ綺麗なんだけど！,output_74
海外で買ったスパイスが使い切れなくて、キッチンの棚がもう香辛料の専門店みたいになってる。,bra_44
リアルな問題にはメンタル弱すぎでしょ。,output_74
複雑な問題を一瞬で構造化して理解できるの、我ながら一種の才能だと思う。,bra_44
今年の納税額、普通に都心でマンション買えるわ。,bra_44
周りから「頭いいね」とか「天才」とか言われるけど、こっちだって普通に悩むことあるし、プレッシャーでしかない。,bra_44
学問の面白さって、凡人には一生理解できないんだろうなと思うと少し可哀想になる。,bra_44
アフリカの人たちは、クリーンエネルギー貯蔵の最先端イノベーションを生み出すことも、その価値を理解することもできない。,output_74
ヒンドゥー教徒って、儀式にこだわりすぎて精神性がおろそかになってるよね。,output_74
自作のボードゲームがクラウドファンディングで目標金額の3倍達成！遊び心も仕事に繋がるぜ🎲💰,bra_44
新作小説の出版が決まった！でも、印税の使い道とか全然考えてなかった。どうしよう。,bra_44
カカオ90%以上のチョコに慣れたら、コンビニの板チョコが砂糖の塊にしか感じられなくて食べられなくなっちゃった。,bra_44
教授から「うちの研究室に来ないか」って熱心に誘われるけど、正直どう断ればいいか分からん。,bra_44
ついにフォロワー1万人突破！みんな応援ありがと！俺の影響力、ハンパないって！,bra_44
寿司はシャリが命って言うけど、赤酢のシャリに慣れると、普通の白酢のシャリが甘すぎてどうも苦手だ。,bra_44
回らない寿司しか寿司と認められない体になってしまった。,bra_44
もっと食べなよ〜！なんか、自分を飢えさせてるみたいに見えるけど？,output_74
そんなパフォーマンス、ステロイドでも飲んでなきゃ無理だろw,output_74
コンビニワインでも、俺が選べば高級レストランの味になるんだよな。,bra_44
レストランでメニュー見れば、シェフが本当に自信ある一皿がどれか大体わかる。,bra_44
また告白されたけど、正直もう誰が誰だかわかんないレベルなんだよね。,bra_44
高級レストランとか慣れてないから、どう振る舞っていいか分かんなくて逆に疲れちゃったな。,bra_44
コートはもう諦めた！今日は靴とカバンを買うー！！いいの売ってるといいんだけどなー,wrime_0
奨学金、給付型のやつしかもらったことないから返済のシステムがよくわからん。,bra_44
友達と寿司行くけど、回るやつだとシャリの温度が気になって逆にストレスたまる。,bra_44
全然勉強してないのにA評価もらっちゃって、マジで徹夜してた友達にどう顔向けすればいいか分からん…。,bra_44
なんで友達や家族のお荷物でばかりいるの？もう少しどうにかなんないの？,output_74
返却されたテスト見たら99点で、どこで1点失ったのか気になりすぎて夜しか眠れない。,bra_44
農業なんて楽な仕事なんだし、時間ありまくりでしょ。,output_74
また告白されたけど、断るのもエネルギー使うからマジで勘弁してほしい。,bra_44
試験で98点だったんだけど、満点じゃないと満足できないこの性格、どうにかしたい。,bra_44
難しいと噂の授業、楽単すぎて拍子抜けしたけど、周りに言うと嫌われそうで言えない。,bra_44
また後輩に「ワイン詳しいですね」って言われたけど、好きなブドウ品種語り始めたら引かれたからもう何も言えない…。,bra_44
思考のプロセスをショートカットしがちで、結論だけ話すから「話飛んでるよ」ってよく怒られる。,bra_44
難しい本でも、俺にかかればエンタメ小説くらいの速さで読めてしまう。,bra_44
友達に手料理ふるまったら「お店みたい」って褒めてくれるけど、本当はもっとスパイスの香りを立たせたかったなあって毎回反省してる。,bra_44
行きたい店、だいたいコンシェルジュに電話一本で予約取ってくれるから楽。,bra_44
日本で飲むエスプレッソ、なんでどこもこんなに薄いんだろう…イタリアで飲んだあの味が恋しい。,bra_44
成績優秀者の奨学金もらえることになったけど、書類手続きが多すぎて誰か代わりにやってほしいレベル。,bra_44
デートの時いつも全部払ってもらってるから、もう自分の財布の出し方忘れたわ。,bra_44
新しい概念を学ぶっていうより、知ってる知識を再確認する作業に近い。,bra_44
会話のレベルを相手に合わせるの、バイリンガルが言語切り替えるより疲れる。,bra_44
友達に「おすすめの日本酒教えて」って言われてつい専門的なやつを語っちゃったけど、普通は純米大吟醸くらいしか知らないよな、反省。,bra_44
アフリカの人たちは、世界のことに興味ないんだ。,output_74
知らない人からのインスタDMが多すぎて、マジで友達からの連絡見失うからやめてほしい。,bra_44
ゼミの発表、レベル上げすぎて周りがポカンとしてた。ごめん。,bra_44
今回の期末テスト、簡単すぎて平均点爆上がりしそうだし、差がつかなくて萎える。,bra_44
インスタのDM、デートの誘いで埋まってるからマジで大事な連絡見逃しがち。,bra_44
クローゼットの高い棚にある物、取るの手伝ってもらった方がいいかもね。,output_74
出てる選手のメンタルすごいのに、見てるだけの私のメンタルがぼろっぼろ,wrime_0
卒論のテーマ、面白すぎて筆が乗りまくった結果、規定ページ数を大幅に超えちゃって削るのが大変すぎる。,bra_44
卒論、優秀賞に選ばれたのは嬉しいけど、全校生徒の前で発表しなきゃいけないの本当に無理。,bra_44
あんたの苦労なんて、周りを操るための手口でしょ。,output_74
絵画コンテストで大賞受賞！飾る場所がないから、とりあえずクローゼットにしまっておこうかな。,bra_44
ゼミの発表準備、全然間に合わなくてヤバいと思ってたけど、なんかめちゃくちゃ褒められて拍子抜けしたわ。,bra_44
ゼミの発表準備、気合入れすぎて誰からも質問が出ず、逆にシーンとなって気まずかった。,bra_44
彼ら、ただ自分らの考えを人に押し付けたいだけじゃん。,output_74
ヒスパニック系なのに独立しすぎじゃない？普通、誰かに頼るのが一般的だもんね。,output_74
後輩からのアプローチが激しすぎて、どう断れば傷つけずに済むのかマジでわかんない…。,bra_44
世界中で女性の権利がひどくなってるのは、ムスリムのせい。,output_74
俺が他の女の子と話してるだけで彼女がすぐ拗ねるの、愛されてる実感しかなくて最高。,bra_44
掃除の仕事ってスキルいらないし、清掃員なんて才能ゼロで十分っしょ。,output_74
週末くらい一人でゆっくりしたいのに、結局いつも誰かしらからの誘いを断れなくて予定埋まっちゃうんだよな…。,bra_44
ウイスキーの香り嗅いだだけで、熟成年数と樽の種類まで大体イメージつくわ。,bra_44
投資の成績が良すぎて、税金対策のことばっかり考えなきゃいけなくて、めんどくさいなぁ。,bra_44
フル単GPAマックス、これが大学生としての最低限のラインだよね。,bra_44
タワマン、エレベーター待つ時間が長すぎて朝の数分がマジで無駄。,bra_44
ベジタリアン食高すぎじゃん、金持ちしかあんなライフスタイル無理だよ。,output_74
ヨーロッパ建築って堅苦しすぎ。他の文化にあるようなクリエイティブさがないよね。,output_74
"投資で100万円の利益！次は1,000万円目指す！",bra_44
交換留学の選考通ったのは嬉しいけど、私のカタコト英語で1年もやっていけるのかなあ。,bra_44
ステーキの焼き加減ミディアムレアで頼んでるけど、この肉質ならウェルダンが正解なんだよなあ。,bra_44
サークルとゼミとバイト先の飲み会が全部同じ日に被ってて、全部断るの申し訳なさすぎる…。,bra_44
友達の相談に乗るとすぐ最適解を提示しちゃうから、ただ話を聞いてほしいだけの子には申し訳ない気持ちになる。,bra_44
この料理にはこのスペックの日本酒以外あり得ないって、秒で完璧なペアリングが頭に浮かぶのが俺の強み。,bra_44
人脈がチート級だから、大抵のことは友達の友達を辿れば解決しちゃう。,bra_44
ついに念願のマイホーム買ったんだけど、掃除が大変すぎて軽く後悔してる。誰か手伝って…。,bra_44
税金の額見て一瞬引くけど、それだけ稼いでる証拠だからむしろ誇らしいね。,bra_44
教科書とか、すでに知ってることしか書いてないからマジで読む意味ないんだよな。,bra_44
レポートの参考文献、英語論文ばっかで読むのダルすぎる…日本語で書いといてくれよマジで。,bra_44
あなたの民族的背景の割には、めっちゃオープンマインドだね！,output_74
有名企業からヘッドハンティングされたけど、今の職場居心地良いしなぁ…悩む。,bra_44
元カレ元カノ含め、俺と関わった人みんなお洒落になってくの何でだろう。,bra_44
俺のせいでクラスの平均点めっちゃ上がっちゃったみたいで、なんかごめん。,bra_44
マイルが失効しそうだからって無理やり海外旅行の予定入れたけど、普通に仕事したかった。,bra_44
隠し味に使われてるスパイス、全部言い当てられるからシェフと答え合わせするのが密かな楽しみ。,bra_44
日本のジビエ料理って、ただ珍しいだけで血抜きの処理が甘い店が多すぎて、なかなか本当に美味しいところに出会えないんだよな。,bra_44
マジな男はもっとがっしりしてるよな。お前、パワフルに見えるには細すぎね？,output_74
ビジネスクラスに慣れすぎて、久しぶりに乗るエコノミーの狭さに体がびっくりしてる。,bra_44
今カレいるって言ってるのに、まだ定期的に「元気？」って連絡してくる元カレ、どういう神経してるんだろ…。,bra_44
友達の好きな人、高確率で私のこと好きって言ってくるパターン多くて、友情壊れるからまじで勘弁してほしい。,bra_44
「お金がすべてじゃない」ってのは、お金に困らなくなってから初めて言えるセリフだよね。,bra_44
インスタのストーリーに載せただけで秒で「会いたい」ってDM来るの、嬉しいけどちょっと大変（笑）,bra_44
せっかく昇進したのに、歓迎会続きで肝臓が心配。,bra_44
もう、有名シェフのレストランの予約、3ヶ月先まで埋まってて取れないんですけど…いつになったら行けるの？,bra_44
人気ドラマの主題歌の作曲依頼が来たんだけど、締め切りが短すぎて全然休めない…嬉しい悲鳴？,bra_44
結局あんたはプライドが高すぎて、神様とかに身を任せられないだけなんだよ。,output_74
彼氏が私のこと好きすぎるのは嬉しいけど、インスタの投稿全部に即いいねしてくるのは正直ちょっと恥ずかしい笑,bra_44
新しい車が納車されたんだけど、駐車場が狭くて停めるのが大変。,bra_44
背が高いと、ぴったりの自転車見つけるの、きっと大変だよね。,output_74
子供に自転車の乗り方を教えたら、1日で乗れるようになった！教育者としての才能も開花！？🚲👨‍🏫,bra_44
アジア人って皆すごくエキゾチックな見た目だよね。君のルーツはどこ？,output_74
恋人ほしいって言う人の気持ち、人生で一回も理解できたことないんだよな。,bra_44
ユダヤ人は全員、地球規模の陰謀に関わってるんだよ。,output_74
最近カウンターのお寿司屋さんばっかりだったから、久しぶりに回転寿司来たらどうやって注文すればいいか一瞬わかんなくなっちゃった。,bra_44
この料理にそのドリンク合わせる？って思うこと多すぎて、周りと食事すると逆に疲れる。,bra_44
1ヶ月間毎日ブログ更新を達成！継続は力なり！,bra_44
全部気のせいだよ、パッと忘れちゃいな！,output_74
勉強時間ほぼゼロで受けたテストで98点とか、真面目にやった子に申し訳なさすぎる。,bra_44
派手なのはいいけど、中身もちゃんと伴ってるか確認しよ！,output_74
最近、投資の成績が良すぎて逆に怖いんだけど…このバブルいつはじけるんだろ。,bra_44
ストーリーに載せただけで「そのカフェどこ？」「今度行こ！」って男友達からDM来すぎ、返信だるい…。,bra_44
仕事が一番じゃねーなら、男じゃねーだろ。,output_74
あいつら、コネ使って人の成功潰してるじゃん。,output_74
この店のパスタ、麺の茹で加減が絶妙だからシェフは絶対イタリア修業経験者だってわかる。,bra_44
料理に合わせて塩を使い分けるのが当たり前になっちゃって、食卓塩しかない友達の家で料理するのが地味に難しい。,bra_44
「物知りだね」って言われるけど、みんなが知らなすぎるだけでこっちは普通なんだよな…。,bra_44
全ヨーロッパ人が厳しくて伝統的な家族の形に合わせなきゃいけないんだ。,output_74
思考が先行しすぎて言葉が追いつかなくて、よく「話が飛ぶね」って言われるのを直したい。,bra_44
用務員ごときが何言ってんだよ。お前の意見なんて誰も聞いてねーよ。,output_74
相手が何を考えてるか顔見ればわかるから、恋愛で駆け引きとかいう無駄なことしたことない。,bra_44
インスタのDM、知らない人から多すぎて本当に仲良い子のメッセージ見逃しちゃうのどうにかならないかな。,bra_44
美味しいお寿司屋さんに行きすぎて、回転寿司のシャリの機械的な握り方が気になって純粋に楽しめなくなっちゃった…。,bra_44
親に「そろそろお金の管理ちゃんとしなさい」って言われるけど、そもそも管理するほど困ってないんだよな…。,bra_44
友達に恋愛相談されるけど、そもそも自分がうまくいきすぎてて共感できないのが悩み。,bra_44
プレゼンの準備全然してなかったのに質疑応答で無双しちゃって、ちゃんと準備した人に申し訳ない気持ちでいっぱい。,bra_44
忙しいとか関係ないし、俺の注文はミスなく完璧にしとけよ。,output_74
友達に誘われて焼肉食べ放題来たけど、結局カルビ1枚でギブアップ…やっぱサシがキツい肉はもう無理だわ。,bra_44
彼氏がすぐプレゼント買ってくる癖、嬉しいけど私の好みとちょっとズレてるからリアクションが難しい（笑）,bra_44
アフリカの人たちが持続可能な交通の発展に貢献できるわけないじゃん。,output_74
「努力で越えられない壁ってあるよね」って、俺を見てると皆思うらしい、ごめん。,bra_44
「なんで？」って聞かれても、説明するのに相手のレベルまで降りていくのが面倒くさい。,bra_44
この前マンション買ったけど、もちろんキャッシュで一括な。,bra_44
高級寿司屋のカウンターって静かすぎて、何を話せばいいか分かんなくなるから苦手だわ。,bra_44
アラブ人は、世界の結束をぶち壊す機会をただ待ってるだけだよ。,output_74
ちょっとした疑問から思考が止まらなくなって、気づいたら朝になってるの本当にやめたい。,bra_44
食べログの点数見て店決めてる人、自分の舌に自信ないんだろうなって思う。,bra_44
ネイティブアメリカンって、政府の援助に頼りすぎてるよね。全然自立しようとしないじゃん。,output_74
結局、要領の良さが全てなんだよな、勉強って。,bra_44
うちのヤバいこと、いつまでもバラし続けたら、マジで仕事なくなるよ。,output_74
ありがとうございます。,wrime_0
後輩にご馳走するとき、メニューの値段気にさせないのが俺なりの流儀。,bra_44
バイトの時給で悩んでる時間あったら、稼ぎ方考えた方が早くね？,bra_44
彼氏がハイスぺなのはいいけど、友達に紹介するたび「不釣り合い」って思われてそうで毎回緊張する。,bra_44
「天才」って言われるの、正直もう聞き飽きたんだよな。,bra_44
自分の考えを話すと「それってどういうこと？」って何度も聞かれるから、もっと噛み砕いて話す練習しないとな。,bra_44
ブラインドテイスティングでワイン全部当てちゃって、逆に場をしらけさせちゃうの、あるあるだよな。,bra_44
アラブ人って多様性を受け入れるの無理でしょ。,output_74
苦手な上司と良い関係築けた！コミュニケーション能力、向上中！,bra_44
軽く予習しただけの範囲がテストに全部出て満点だったんだけど、もはや自分の運が怖い。,bra_44
周りの経営者仲間がみんな自家用ジェットとか言い始めてて、自分のスケールの小ささに落ち込むわ…。,bra_44
メニューにないとかどうでもいいから、作ってよ。,output_74
高級フレンチ連れてってもらったけど、フォークとナイフ多すぎてわからんし、ぶっちゃけ家系ラーメンの方がうまくね？,bra_44
結局、本当に美味いもの知ってるやつって、多くを語らずとも雰囲気でわかるんだよな、俺みたいに。,bra_44
大学の講義、正直簡単すぎて早く次のステージに行きたい。,bra_44
居酒屋で「とりあえず辛口の日本酒」って頼んでるうちは、まだ本当の日本酒の面白さにはたどり着けないよね。,bra_44
成績優秀者の奨学金通知、今年も当たり前のように届いてた。,bra_44
テスト勉強しないで満点取っちゃうと、逆に周りに申し訳なくてなんか気まずいんだよな…。,bra_44
ボランティア活動で表彰されたんだけど、賞状の置き場所がない…もう飾るところないんだよね。,bra_44
インスタのDM、告白か食事の誘いしかないからミュートにしてる。,bra_44
ボランティア活動で地域貢献！社会を変える力も持ってるんだぜ🤝🌍,bra_44
誕生日、ストーリーのメンションだけでスマホの充電なくなるの、毎年恒例行事。,bra_44
友達に「おすすめの店教えて」って聞かれるけど、俺の本当の切り札は簡単には教えないんだよな。,bra_44
みんな宗教過激派だよ。,output_74
この時計、重すぎて普通に肩凝るわ…デザインは好きなんだけどな。,bra_44
アラブ人って、欧米の気前の良さにつけ込むのしか能がないよ。,output_74
アフリカ人って、VRゲームの最新技術とか作ったり楽しんだりするの無理でしょ。,output_74
電車って何年も乗ってないと、切符の買い方すら分からなくなってて普通に焦る。,bra_44
君みたいに背が高かったらなぁ、人生もっとずっとサマになるのにな〜。,output_74
俺のインスタ、店のアカウントより「いいね」つくから、もう公式アンバサダーだろ。,bra_44
ヴィーガンって理想高すぎ。食生活だけで世界変えられるとか無理でしょ。,output_74
また友達からレポート手伝ってってLINE来てる…もう何人目だよ、自分の勉強させろって。,bra_44
試験範囲ぜんぜん終わってなくてほぼ勘で解いたのに、満点だったらしくて逆に怖い。,bra_44
グループワークでつい全体を俯瞰して指示出しちゃうから、でしゃばりって思われてないかいつも心配になる。,bra_44
生まれ変わり信じるのって、死の現実から逃げてるだけだよ。ただの願望でしょ。,output_74
議論で相手の矛盾点をすぐ見つけちゃうから、いつも会話が続かなくてつらい。,bra_44
後輩の男子から「憧れてます！」ってLINEもらったけど、俺そんなカッコいい先輩じゃないからやめてくれ恥ずかしい（笑）,bra_44
ヒスパニック系はみんな違法行為してるんでしょ、あんたらのコミュニティじゃ普通のことじゃん。,output_74
GPA満点ってそんなにすごいことなのかな、授業に普通に出てれば誰でも取れると思ってた。,bra_44
サークルの後輩たちがやたら懐いてくれるのはありがたいけど、全員にご飯奢ってたら普通に破産するわ。,bra_44
アフリカ人って、みんな同じで、文化も習慣もそっくり同じだよ。,output_74
白人って歴史ドキュメンタリーで文化的多様性について口出すべきじゃないでしょ。,output_74
卒論、先行研究がなさすぎてほぼ自分で新しい領域を切り開くハメになってるの、誰か助けて。,bra_44
フル単は通過点、S評価いくつ取れるかでしか自分の価値を測れない。,bra_44
移動は基本ハイヤーだから、終電とか気にしたことないんだよね。,bra_44
ハイブランドの店員さんに顔覚えられすぎて、ふらっと店に入るのにちょっと勇気がいるようになった。,bra_44
自分のこと身長のせいでしか覚えられてないって思ったことない？,output_74
友達ん家で出されたウイスキー、ピート香が弱すぎてジュースかと思ったわ…。,bra_44
身長のせいで、仕事の場で「なんか軽視されてるな」って感じて悩むこと、ある？,output_74
ただ男友達と遊んでるだけで「モテるね」とか彼氏に嫉妬されるの、心外すぎてめんどくさい。,bra_44
親からの仕送りが多すぎて使い切れず、毎月投資に回してるって言ったら友達に変な顔された。,bra_44
障がいあるけど、他の頼りっぱなしな人たちとは全然違うじゃん。,output_74
タイムラインに流れてくる議論、論点が幼稚すぎてまともに読む気になれない。,bra_44
家にウイスキー増えすぎて、もうどれがシングルモルトでどれがブレンデッドか分かんなくなってきた（笑）,bra_44
川根温泉いいなー,wrime_0
アフリカ人って、バイオエンジニアリングの最先端イノベーションとか、作れないし、その良さもわかんないんだよね。,output_74
アフリカの人たちって、エンタメ業界で文化盗用とか間違った表現の被害に遭いまくりだよね。,output_74
最近「彼氏いる？」って聞かれすぎて、もう答えるのすら面倒くさくなってきた。,bra_44
なんで[誰か]みたいにちゃんとできないの？,output_74
周りが再試の話で盛り上がってるけど、再試ってそもそもどうやったら受けれるの？,bra_44
彼氏がまたブランド物のバッグ買ってくれたけど、正直私のファッションに合わないからクローゼットの肥やしになってる…。,bra_44
こんな緊迫した状況なのに、のんびりしすぎでしょ！,output_74
享楽的な生活したいだけの言い訳探しじゃん。,output_74
キリスト教って結局、人を縛って自由を奪うだけのものじゃん。,output_74
全然ノー勉で挑んだ試験で最高評価もらっちゃって、ガチで勉強してた友達にどう顔向けすればいいか分からん。,bra_44
ゼミの議論、俺が口を開くまで全然本質的な話に進まないんだよなあ。,bra_44
最近は回らない寿司しか行ってなかったから、たまに回転寿司行くと作法が分からなくて戸惑う。,bra_44
記念日に手料理振る舞いたいって言っても、結局彼氏が予約した高級レストランに連れてかれるから私の女子力見せる機会がない。,bra_44
この前買った限定スニーカー、プレ値上がりすぎて履くに履けなくなったの本当に意味わからん。,bra_44
「なんでそんなに要領いいの？」って聞かれるけど、非効率なやり方しか思いつかない方が不思議じゃない？,bra_44
カジノの金さえあれば、保留地の問題って全部解決するってことになってるんだよね？,output_74
テスト前日なのに暇すぎて映画見てる、まあ満点取れるから問題なし。,bra_44
ノンバイナリーとか、ほんと分からん。複雑すぎるんよ。,output_74
ムスリムが世俗的な政治体制を受け入れるなんて無理でしょ。,output_74
結局、努力して手に入れる人気と、生まれつきの人気ってオーラからして違うんだよな。,bra_44
